"municipio.x";"cod_ibge";"uf";"total_doses";"total_dose_1";"total_dose_2";"populacao";"cobertura_vacinal_dose_1";"cobertura_vacinal_dose_2"
"Porto Lucena";431500;"RS";4443;3076;1269;4594;67;27,6
"Marques De Souza";431205;"RS";3445;2244;1102;3995;56,2;27,6
"Pinheiral";330395;"RJ";21447;14001;6959;25364;55,2;27,4
"Muçum";431260;"RS";4195;2696;1359;4961;54,3;27,4
"Colinas";430558;"RS";2147;1430;667;2435;58,7;27,4
"Porto Vera Cruz";431507;"RS";1395;1005;359;1308;76,8;27,4
"União Da Serra";432235;"RS";1083;763;306;1118;68,2;27,4
"Cotiporã";430595;"RS";3396;2269;1047;3838;59,1;27,3
"Chiapetta";430540;"RS";3244;2134;1017;3719;57,4;27,3
"Silveira Martins";432065;"RS";2063;1365;648;2374;57,5;27,3
"Brochier";430265;"RS";4305;2892;1386;5104;56,7;27,2
"Araçu";520160;"GO";3939;2971;949;3486;85,2;27,2
"Vila Nova Do Sul";432345;"RS";3962;2704;1157;4277;63,2;27,1
"Rancho Queimado";421430;"SC";3014;2139;781;2887;74,1;27,1
"Florínea";351610;"SP";2470;1695;718;2653;63,9;27,1
"Serra Da Saudade";316660;"MG";691;461;210;776;59,4;27,1
"Pedro Gomes";500640;"MS";6289;4045;2051;7621;53,1;26,9
"Jussiape";291860;"BA";5785;4140;1607;5976;69,3;26,9
"Guarda-Mor";312860;"MG";5347;3484;1751;6569;53;26,7
"Boa Vista Do Sul";430225;"RS";2483;1670;743;2778;60,1;26,7
"Lamim";313790;"MG";2774;1849;898;3379;54,7;26,6
"Unistalda";432237;"RS";2073;1395;618;2321;60,1;26,6
"Cruzaltense";430613;"RS";1585;1065;479;1799;59,2;26,6
"Tupanci Do Sul";432218;"RS";1313;890;388;1459;61;26,6
"Sem-Peixe";316556;"MG";2403;1663;690;2606;63,8;26,5
"Parapuã";353600;"SP";11390;8090;2895;10949;73,9;26,4
"Mirinzal";210680;"MA";11113;7042;3963;15011;46,9;26,4
"Paulo Bento";431413;"RS";1999;1342;607;2299;58,4;26,4
"Santana Da Boa Vista";431700;"RS";7255;4929;2122;8067;61,1;26,3
"Tiradentes Do Sul";432147;"RS";4879;3373;1476;5616;60,1;26,3
"Jacutinga";431090;"RS";3047;2065;931;3546;58,2;26,3
"Paial";421187;"SC";1370;958;387;1474;65;26,3
"Caibaté";430330;"RS";4395;3009;1266;4823;62,4;26,2
"Canaã";311170;"MG";3683;2490;1193;4548;54,7;26,2
"Alegria";430045;"RS";3207;2242;884;3374;66,4;26,2
"Esperança Do Sul";430745;"RS";2586;1801;755;2885;62,4;26,2
"Porto Alegre";431490;"RS";1174321;743793;388462;1488252;50;26,1
"Paranhos";500635;"MS";12008;6651;3764;14404;46,2;26,1
"Planalto";431470;"RS";8493;5671;2614;10019;56,6;26,1
"Ibiraiaras";430990;"RS";6025;3971;1890;7265;54,7;26
"Boa Vista Do Buricá";430220;"RS";5710;3783;1744;6712;56,4;26
"Três Palmeiras";432185;"RS";3829;2616;1107;4251;61,5;26
"Pilar De Goiás";521690;"GO";2173;1597;571;2194;72,8;26
"Emilianópolis";351512;"SP";3207;2265;836;3227;70,2;25,9
"Taboleiro Grande";241380;"RN";2946;2223;670;2586;86;25,9
"Abdon Batista";420005;"SC";2380;1639;661;2548;64,3;25,9
"Pinto Bandeira";431454;"RS";2348;1498;785;3036;49,3;25,9
"Mariano Moro";431200;"RS";1876;1313;521;2009;65,4;25,9
"Santana Do Garambéu";315870;"MG";1559;917;642;2476;37;25,9
"Macuco";330245;"RJ";5732;4204;1452;5623;74,8;25,8
"Pouso Novo";431513;"RS";1525;1061;416;1612;65,8;25,8
"Cassilândia";500290;"MS";19184;12434;5651;22002;56,5;25,7
"Peritiba";421260;"SC";2175;1445;710;2760;52,4;25,7
"Dezesseis De Novembro";430635;"RS";2103;1426;611;2378;60;25,7
"Poço Das Antas";431475;"RS";1712;1117;539;2101;53,2;25,7
"Montauri";431235;"RS";1381;978;371;1441;67,9;25,7
"Antônio João";500090;"MS";9083;4494;2313;9020;49,8;25,6
"Ibiaçá";430980;"RS";4263;2952;1203;4699;62,8;25,6
"Ribeirão Dos Índios";354323;"SP";1952;1328;569;2224;59,7;25,6
"Alecrim";430030;"RS";5327;3708;1484;5827;63,6;25,5
"Campinas Do Sul";430380;"RS";4482;2977;1385;5438;54,7;25,5
"José Boiteux";420915;"SC";3411;2132;1279;5007;42,6;25,5
"Erebango";430697;"RS";2487;1661;761;2987;55,6;25,5
"Douradina";500350;"MS";4801;3077;1519;5975;51,5;25,4
"Aparecida D'Oeste";350260;"SP";4778;3506;1057;4158;84,3;25,4
"Três Forquilhas";432183;"RS";2423;1667;677;2669;62,5;25,4
"Fátima Do Sul";500380;"MS";16021;10512;4858;19170;54,8;25,3
"Saltinho";354515;"SP";8574;6145;2125;8393;73,2;25,3
"Gaurama";430870;"RS";4794;3375;1389;5489;61,5;25,3
"Tavares";432135;"RS";4267;2791;1387;5483;50,9;25,3
"Áurea";430155;"RS";2908;1923;894;3535;54,4;25,3
"Pedras Altas";431417;"RS";2006;1462;494;1954;74,8;25,3
"Dois Irmãos Do Buriti";500348;"MS";8518;5174;2894;11467;45,1;25,2
"Dom Pedro De Alcântara";430655;"RS";2285;1587;638;2527;62,8;25,2
"São José Do Sul";431861;"RS";1965;1291;614;2437;53;25,2
"Carlos Gomes";430485;"RS";1140;765;340;1351;56,6;25,2
"São Lourenço Do Piauí";221035;"PI";3543;2328;1150;4577;50,9;25,1
"Centenário";430511;"RS";2677;1918;723;2877;66,7;25,1
"Trabiju";355475;"SP";1595;1090;437;1738;62,7;25,1
"Vista Alegre Do Prata";432360;"RS";1351;934;391;1557;60;25,1
"Campinápolis";510260;"MT";11170;6981;4024;16127;43,3;25
"Palmares Do Sul";431365;"RS";10160;7132;2832;11330;62,9;25
"Fernando De Noronha";260545;"PE";4725;3953;772;3101;127,5;24,9
"Adolfo";350020;"SP";3279;2281;884;3554;64,2;24,9
